Filename, Line #, TypeChef-Type, .\busybox_1_28_0_cbmc.json-Type
mdev.c, 410, Uninitialized memory, overflow
lineedit.c, 2206, Uninitialized memory, overflow
mktemp.c, 77, Check stdlibfunc return, pointer dereference
xfuncs_printf.c, 314, Check stdlibfunc return, assertion
shuf.c, 93, Check stdlibfunc return, overflow
wget.c, 749, Xfree, assertion
dhcpc.c, 1020, Uninitialized memory, overflow
copy_file.c, 205, Xfree, assertion
sendmail.c, 423, Check stdlibfunc return, overflow
ubi_tools.c, 250, Uninitialized memory, overflow
find.c, 679, Xfree, overflow
devfsd.c, 1655, Uninitialized memory, overflow
mount.c, 721, Xfree, assertion
tls.c, 495, Uninitialized memory, overflow
iproute.c, 391, Uninitialized memory, overflow
arp.c, 482, Check stdlibfunc return, assertion
fdisk.c, 2398, Uninitialized memory, array bounds
syslogd.c, 843, Uninitialized memory, pointer dereference
get_header_cpio.c, 169, Double free, assertion
nmeter.c, 775, Uninitialized memory, pointer dereference
mount.c, 1376, Case termination, overflow
powertop.c, 394, Check stdlibfunc return, assertion
uidgid_get.c, 96, Check stdlibfunc return, overflow
data_extract_to_command.c, 95, Uninitialized memory, pointer dereference
tcpudp.c, 352, Dead store, pointer dereference
lineedit.c, 1750, Dead store, pointer dereference
mount.c, 1673, Uninitialized memory, overflow
httpd.c, 1292, Uninitialized memory, pointer dereference
hush.c, 7022, Xfree, assertion
common.c, 605, Uninitialized memory, overflow
inetd.c, 847, Check stdlibfunc return, overflow
awk.c, 2082, Check stdlibfunc return, overflow
ll_map.c, 79, Uninitialized memory, overflow
syslogd.c, 755, Uninitialized memory, pointer dereference
powertop.c, 807, Uninitialized memory, pointer dereference
vi.c, 3358, Check stdlibfunc return, overflow
ntpd.c, 1267, Uninitialized memory, array bounds
nmeter.c, 282, Uninitialized memory, overflow
getsebool.c, 63, Uninitialized memory, pointer dereference
decompress_bunzip2.c, 492, Uninitialized memory, array bounds
unicode.c, 57, Check stdlibfunc return, pointer dereference
fdisk_sun.c, 226, Check stdlibfunc return, assertion
modprobe-small.c, 473, Xfree, assertion
netstat.c, 441, Uninitialized memory, overflow
hfs.c, 242, Uninitialized memory, overflow
comm.c, 84, Uninitialized memory, overflow
mount.c, 786, Xfree, assertion
lineedit.c, 2220, Uninitialized memory, overflow
get_header_cpio.c, 31, Uninitialized memory, pointer dereference
stat.c, 428, Check stdlibfunc return, overflow
head.c, 124, Double free, pointer dereference
ash.c, 12897, Check stdlibfunc return, overflow
xz_dec_lzma2.c, 1047, Case termination, pointer dereference
wget.c, 622, Check stdlibfunc return, pointer dereference
nc_bloaty.c, 470, Xfree, assertion
ftpd.c, 513, Xfree, assertion
lzo1x_9x.c, 869, Dead store, overflow
ash.c, 7174, Check stdlibfunc return, overflow
unicode.c, 81, Check stdlibfunc return, pointer dereference
stty.c, 1537, Uninitialized memory, overflow
fdisk.c, 2497, Uninitialized memory, pointer dereference
ntpd.c, 1701, Uninitialized memory, overflow
tr.c, 181, Xfree, assertion
decompress_gunzip.c, 913, Uninitialized memory, overflow
ls.c, 947, Xfree, assertion
inetd.c, 616, Uninitialized memory, pointer dereference
ll_addr.c, 45, Check stdlibfunc return, overflow
traceroute.c, 1208, Xfree, assertion
xargs.c, 452, Double free, assertion
parse_config.c, 92, Check stdlibfunc return, pointer dereference
mount.c, 2101, Xfree, assertion
httpd.c, 2359, Check stdlibfunc return, pointer dereference
mpstat.c, 628, Check stdlibfunc return, assertion
head.c, 134, Double free, assertion
ifenslave.c, 251, Uninitialized memory, overflow
ash.c, 5270, Uninitialized memory, pointer dereference
iprule.c, 185, Dead store, pointer dereference
awk.c, 1763, Uninitialized memory, overflow
vi.c, 1143, Uninitialized memory, overflow
expand.c, 189, Dead store, overflow
decompress_gunzip.c, 463, Uninitialized memory, overflow
cpio.c, 229, Xfree, assertion
ifplugd.c, 610, Uninitialized memory, overflow
sleep.c, 127, Uninitialized memory, NaN
iostat.c, 157, Check stdlibfunc return, assertion
bbunzip.c, 174, Dead store, overflow
crontab.c, 62, Check stdlibfunc return, pointer dereference
diff.c, 900, Uninitialized memory, pointer dereference
ntpd.c, 2336, Uninitialized memory, overflow
awk.c, 2664, Case termination, overflow
nmeter.c, 522, Uninitialized memory, array bounds
lpd.c, 189, Check stdlibfunc return, overflow
i2c_tools.c, 642, Dead store, overflow
powertop.c, 135, Double free, pointer dereference
devfsd.c, 890, Uninitialized memory, pointer dereference
top.c, 312, Check stdlibfunc return, assertion
ftpd.c, 329, Xfree, assertion
makedevs.c, 229, Uninitialized memory, overflow
decompress_bunzip2.c, 519, Uninitialized memory, array bounds
ls.c, 1239, Xfree, assertion
cut.c, 190, Xfree, assertion
iprule.c, 67, Uninitialized memory, overflow
compress.c, 395, Uninitialized memory, array bounds
pgrep.c, 228, Xfree, assertion
recursive_action.c, 147, Xfree, assertion
ash.c, 2279, Xfree, assertion
start_stop_daemon.c, 226, Uninitialized memory, overflow
ntpd.c, 2343, Uninitialized memory, overflow
nmeter.c, 484, Uninitialized memory, overflow
modprobe-small.c, 846, Xfree, assertion
vi.c, 1232, Uninitialized memory, overflow
hush.c, 2346, Check stdlibfunc return, overflow
mpstat.c, 514, Check stdlibfunc return, assertion
tls_pstm.c, 573, Dead store, pointer dereference
bootchartd.c, 395, Uninitialized memory, overflow
ash.c, 5272, Uninitialized memory, pointer dereference
fbset.c, 278, Uninitialized memory, overflow
hush.c, 8660, Xfree, assertion
vi.c, 2432, Xfree, assertion
ifupdown.c, 1513, Xfree, assertion
dos2unix.c, 98, Check stdlibfunc return, assertion
diff.c, 549, Uninitialized memory, overflow
crond.c, 471, Xfree, assertion
comm.c, 112, Check stdlibfunc return, assertion
unicode.c, 164, Uninitialized memory, overflow
lineedit.c, 2248, Uninitialized memory, overflow
microcom.c, 89, Xfree, assertion
pwd_grp.c, 289, Uninitialized memory, pointer dereference
pwd_grp.c, 244, Check stdlibfunc return, assertion
getty.c, 494, Case termination, pointer dereference
grep.c, 672, Check stdlibfunc return, assertion
netstat.c, 633, Uninitialized memory, overflow
wget.c, 1110, Uninitialized memory, pointer dereference
inetd.c, 740, Check stdlibfunc return, overflow
sestatus.c, 149, Uninitialized memory, array bounds
patch.c, 568, Xfree, assertion
parse_config.c, 216, Dead store, pointer dereference
ls.c, 893, Dead store, overflow
hexedit.c, 171, Uninitialized memory, overflow
mpstat.c, 958, Double free, pointer dereference
depmod.c, 190, Check stdlibfunc return, pointer dereference
arp.c, 114, Uninitialized memory, overflow
diff.c, 701, Xfree, assertion
ash.c, 1568, Xfree, assertion
svlogd.c, 625, Uninitialized memory, overflow
login.c, 555, Uninitialized memory, pointer dereference
ifconfig.c, 472, Xfree, assertion
lsof.c, 70, Xfree, assertion
mdev.c, 341, Check stdlibfunc return, overflow
sendmail.c, 159, Check stdlibfunc return, pointer dereference
passwd.c, 66, Xfree, assertion
ether-wake.c, 283, Uninitialized memory, overflow
vi.c, 3664, Check stdlibfunc return, overflow
inetd.c, 786, Uninitialized memory, pointer dereference
patch.c, 567, Xfree, assertion
setfiles.c, 454, Xfree, assertion
print_numbered_lines.c, 25, Xfree, assertion
i2c_tools.c, 1171, Uninitialized memory, pointer dereference
ls.c, 884, Dead store, pointer dereference
wget.c, 984, Dead store, pointer dereference
less.c, 374, Double free, pointer dereference
fdisk_sun.c, 191, Uninitialized memory, overflow
get_last_path_component.c, 13, Check stdlibfunc return, overflow
interface.c, 582, Check stdlibfunc return, assertion
inotifyd.c, 220, Xfree, assertion
ipaddress.c, 351, Uninitialized memory, overflow
getsebool.c, 65, Uninitialized memory, pointer dereference
hexedit.c, 406, Case termination, pointer dereference
httpd.c, 1993, Uninitialized memory, pointer dereference
ipneigh.c, 166, Uninitialized memory, pointer dereference
i2c_tools.c, 203, Uninitialized memory, overflow
scriptreplay.c, 53, Check stdlibfunc return, assertion
ash.c, 9342, Double free, pointer dereference
getopt32.c, 509, Uninitialized memory, pointer dereference
hush.c, 4586, Check stdlibfunc return, overflow
wget.c, 661, Check stdlibfunc return, overflow
dhcpc.c, 1669, Case termination, pointer dereference
ifupdown.c, 913, Xfree, assertion
awk.c, 2144, Xfree, assertion
hush.c, 2127, Check stdlibfunc return, overflow
unpack_ar_archive.c, 13, Uninitialized memory, pointer dereference
fdisk_sgi.c, 558, Uninitialized memory, array bounds
vi.c, 2109, Check stdlibfunc return, overflow
nslookup.c, 140, Xfree, assertion
vi.c, 1227, Uninitialized memory, pointer dereference
mpstat.c, 535, Check stdlibfunc return, assertion
svlogd.c, 673, Check stdlibfunc return, pointer dereference
fbsplash.c, 433, Uninitialized memory, overflow
lsmod.c, 109, Uninitialized memory, pointer dereference
mail.c, 55, Uninitialized memory, overflow
vi.c, 4167, Uninitialized memory, overflow
powertop.c, 854, Uninitialized memory, overflow
mount.c, 665, Check stdlibfunc return, assertion
umount.c, 237, Double free, pointer dereference
get_header_ar.c, 112, Uninitialized memory, overflow
devfsd.c, 655, Case termination, pointer dereference
last_fancy.c, 257, Double free, pointer dereference
ash.c, 9351, Double free, assertion
dpkg.c, 514, Xfree, assertion
dpkg.c, 1249, Xfree, assertion
ar.c, 148, Uninitialized memory, pointer dereference
devfsd.c, 636, Uninitialized memory, pointer dereference
nc_bloaty.c, 404, Double free, assertion
crond.c, 558, Uninitialized memory, pointer dereference
nmeter.c, 606, Uninitialized memory, array bounds
switch_root.c, 139, Uninitialized memory, overflow
sed.c, 720, Double free, assertion
inotifyd.c, 125, Check stdlibfunc return, overflow
devfsd.c, 1048, Uninitialized memory, overflow
rev.c, 106, Double free, assertion
ntpd.c, 1324, Uninitialized memory, array bounds
hush.c, 3065, Uninitialized memory, overflow
hash_md5_sha.c, 535, Uninitialized memory, array bounds
expr.c, 294, Uninitialized memory, pointer dereference
arp.c, 466, Uninitialized memory, overflow
xreadlink.c, 86, Xfree, assertion
route.c, 376, Check stdlibfunc return, overflow
ash.c, 7334, Check stdlibfunc return, overflow
xz_dec_lzma2.c, 972, Case termination, pointer dereference
httpd.c, 728, Uninitialized memory, overflow
init.c, 297, Check stdlibfunc return, pointer dereference
mdev.c, 702, Uninitialized memory, overflow
rfkill.c, 117, Uninitialized memory, overflow
nmeter.c, 443, Uninitialized memory, pointer dereference
utils.c, 30, Check stdlibfunc return, assertion
fdisk_sgi.c, 540, Uninitialized memory, array bounds
compress.c, 528, Uninitialized memory, overflow
ntpd.c, 2121, Xfree, assertion
ntpd.c, 1694, Uninitialized memory, overflow
progress.c, 155, Uninitialized memory, pointer dereference
lineedit.c, 1487, Check stdlibfunc return, assertion
modprobe-small.c, 956,  Cfg innnvoid function, pointer dereference
