Filename, Line #, TypeChef-Type, .\busybox_1_28_0_cbmc.json-Type
hash_md5_sha.c, 729, Uninitialized memory, overflow
hush.c, 4630, Uninitialized memory, pointer dereference
dpkg.c, 1711, Check stdlibfunc return, assertion
ash.c, 4636, Case termination, pointer dereference
arp.c, 260, Uninitialized memory, overflow
powertop.c, 447, Check stdlibfunc return, overflow
less.c, 1584, Case termination, overflow
top.c, 576, Uninitialized memory, overflow
wget.c, 659, Check stdlibfunc return, overflow
hush.c, 10634, Xfree, assertion
fdisk_sgi.c, 544, Uninitialized memory, array bounds
ether-wake.c, 230, Uninitialized memory, overflow
crond.c, 584, Xfree, assertion
lineedit.c, 293, Uninitialized memory, overflow
lsmod.c, 87, Uninitialized memory, pointer dereference
fsck.c, 662, Xfree, assertion
ls.c, 1038, Xfree, assertion
iproute.c, 255, Uninitialized memory, overflow
pwd_grp.c, 478, Check stdlibfunc return, assertion
less.c, 1810, Xfree, assertion
depmod.c, 199, Xfree, assertion
loadkmap.c, 77, Uninitialized memory, array bounds
ipneigh.c, 165, Uninitialized memory, overflow
uuencode.c, 145, Uninitialized memory, pointer dereference
awk.c, 2345, Uninitialized memory, overflow
tls_pstm.c, 415, Dead store, pointer dereference
powertop.c, 452, Check stdlibfunc return, overflow
dpkg.c, 1178, Xfree, assertion
hush.c, 5546, Check stdlibfunc return, overflow
ash.c, 6341, Uninitialized memory, pointer dereference
hush.c, 4934, Check stdlibfunc return, overflow
rtc.c, 100, Check stdlibfunc return, pointer dereference
expr.c, 300, Uninitialized memory, pointer dereference
ifplugd.c, 553, Uninitialized memory, overflow
lineedit.c, 737, Check stdlibfunc return, pointer dereference
blocksort.c, 288, Dead store, overflow
mkfs_ext2.c, 461, Uninitialized memory, overflow
uudecode.c, 151, Check stdlibfunc return, overflow
modprobe-small.c, 638, Xfree, assertion
ipaddress.c, 343, Uninitialized memory, overflow
ash.c, 602, Check stdlibfunc return, pointer dereference
last_fancy.c, 200, Uninitialized memory, overflow
lineedit.c, 2022, Xfree, assertion
umount.c, 238, Xfree, assertion
hexedit.c, 99, Dead store, overflow
ipaddress.c, 157, Uninitialized memory, overflow
last_fancy.c, 258, Xfree, assertion
dd.c, 225, Check stdlibfunc return, overflow
awk.c, 3202, Check stdlibfunc return, overflow
ifupdown.c, 905, Xfree, assertion
ntpd.c, 552, Uninitialized memory, NaN
bootchartd.c, 293, Uninitialized memory, pointer dereference
fdisk_sgi.c, 534, Uninitialized memory, array bounds
domain_codec.c, 146, Xfree, assertion
kernel_version.c, 29, Dead store, pointer dereference
vi.c, 2085, Dead store, overflow
readprofile.c, 177, Uninitialized memory, overflow
ifupdown.c, 429, Xfree, assertion
fbsplash.c, 441, Uninitialized memory, overflow
svlogd.c, 467, Uninitialized memory, overflow
mount.c, 514, Double free, pointer dereference
hush.c, 10108, Dead store, pointer dereference
xreadlink.c, 73, Xfree, assertion
dump.c, 226, Case termination, pointer dereference
hush.c, 2238, Xfree, assertion
awk.c, 2717, Dead store, pointer dereference
svlogd.c, 558, Check stdlibfunc return, pointer dereference
simplify_path.c, 54, Xfree, assertion
utils.c, 96, Check stdlibfunc return, overflow
hush.c, 7388, Check stdlibfunc return, pointer dereference
fsck.c, 297, Xfree, assertion
less.c, 1605, Check stdlibfunc return, pointer dereference
wget.c, 1139, Check stdlibfunc return, pointer dereference
diff.c, 937, Xfree, overflow
inetd.c, 892, Uninitialized memory, overflow
pgrep.c, 119, Uninitialized memory, overflow
whois.c, 103, Xfree, assertion
fdisk_sgi.c, 543, Uninitialized memory, array bounds
ipneigh.c, 126, Uninitialized memory, overflow
tftp.c, 532, Uninitialized memory, overflow
socket.c, 93, Check stdlibfunc return, overflow
ntpd.c, 2122, Xfree, assertion
dump.c, 138, Check stdlibfunc return, pointer dereference
hush.c, 3296, Xfree, assertion
progress.c, 154, Uninitialized memory, overflow
ash.c, 10081, Uninitialized memory, pointer dereference
decompress_gunzip.c, 396, Uninitialized memory, array bounds
mkfs_reiser.c, 380, Xfree, assertion
lspci.c, 107, Xfree, assertion
hash_md5_sha.c, 543, Uninitialized memory, overflow
pwd_grp.c, 491, Check stdlibfunc return, assertion
brctl.c, 366, Uninitialized memory, overflow
acpid.c, 359, Xfree, assertion
modutils.c, 143, Check stdlibfunc return, overflow
od.c, 183, Check stdlibfunc return, overflow
mdev.c, 1099, Check stdlibfunc return, pointer dereference
date.c, 333, Dead store, overflow
bbunzip.c, 124, Uninitialized memory, overflow
fdisk_sun.c, 435, Uninitialized memory, array bounds
ps.c, 608, Uninitialized memory, overflow
byteswap.h, 111, Uninitialized memory, overflow
hexdump.c, 195, Check stdlibfunc return, pointer dereference
lineedit.c, 1384, Double free, overflow
whois.c, 96, Xfree, assertion
blocksort.c, 346, Uninitialized memory, array bounds
man.c, 287, Uninitialized memory, overflow
mkfs_reiser.c, 379, Xfree, assertion
setfiles.c, 330, Check stdlibfunc return, overflow
sort.c, 206, Uninitialized memory, overflow
hush.c, 8135, Xfree, assertion
modprobe-small.c, 1054, Xfree, assertion
inotifyd.c, 195, Uninitialized memory, pointer dereference
hush.c, 8505, Double free, assertion
ipaddress.c, 247, Uninitialized memory, overflow
d6_socket.c, 88, Uninitialized memory, overflow
inetd.c, 1100, Xfree, assertion
nbd-client.c, 115, Check stdlibfunc return, overflow
xconnect.c, 472, Check stdlibfunc return, overflow
lineedit.c, 869, Xfree, pointer dereference
fdisk_sgi.c, 751, Uninitialized memory, overflow
lpd.c, 284, Xfree, assertion
devfsd.c, 661, Uninitialized memory, pointer dereference
vi.c, 1412, Check stdlibfunc return, overflow
rx.c, 114, Uninitialized memory, overflow
gzip.c, 1346, Dead store, overflow
xfuncs_printf.c, 367, Xfree, assertion
nmeter.c, 426, Uninitialized memory, overflow
ifupdown.c, 1250, Check stdlibfunc return, assertion
fdisk_sgi.c, 525, Uninitialized memory, overflow
fdisk.c, 2537, Uninitialized memory, pointer dereference
diff.c, 753, Uninitialized memory, overflow
sort.c, 209, Dead store, pointer dereference
lpd.c, 132, Uninitialized memory, overflow
devfsd.c, 829, Xfree, assertion
hush.c, 3496, Dead store, pointer dereference
mdev.c, 743, Check stdlibfunc return, overflow
fdisk.c, 2238, Uninitialized memory, pointer dereference
syslogd.c, 948, Xfree, assertion
lineedit.c, 1724, Dead store, pointer dereference
fdisk_sun.c, 417, Uninitialized memory, array bounds
bootchartd.c, 155, Uninitialized memory, overflow
acpid.c, 234, Uninitialized memory, pointer dereference
hush.c, 1475, Xfree, assertion
diff.c, 511, Uninitialized memory, overflow
route.c, 447, Uninitialized memory, overflow
dpkg.c, 1544, Xfree, assertion
xz_dec_lzma2.c, 326, Dead store, overflow
fdisk_sun.c, 462, Uninitialized memory, array bounds
ls.c, 803, Double free, assertion
zcip.c, 248, Uninitialized memory, overflow
taskset.c, 195, Uninitialized memory, overflow
modprobe.c, 367, Uninitialized memory, pointer dereference
sort.c, 216, Dead store, pointer dereference
bzlib.c, 133, Case termination, pointer dereference
fdisk.c, 2419, Uninitialized memory, array bounds
diff.c, 619, Uninitialized memory, pointer dereference
awk.c, 2406, Uninitialized memory, overflow
ifplugd.c, 469, Uninitialized memory, pointer dereference
unshare.c, 208, Uninitialized memory, overflow
ipaddress.c, 709, Uninitialized memory, overflow
ash.c, 7978, Xfree, assertion
fdisk_sun.c, 422, Uninitialized memory, array bounds
httpd.c, 852, Uninitialized memory, overflow
sed.c, 1094, Dead store, pointer dereference
blocksort.c, 252, Uninitialized memory, array bounds
powertop.c, 494, Check stdlibfunc return, assertion
netstat.c, 245, Xfree, assertion
ntpd.c, 1393, Uninitialized memory, pointer dereference
inetd.c, 864, Check stdlibfunc return, pointer dereference
interface.c, 517, Uninitialized memory, overflow
ed.c, 876, Uninitialized memory, pointer dereference
ipcrm.c, 70, Uninitialized memory, overflow
fdisk.c, 2523, Uninitialized memory, overflow
man.c, 298, Uninitialized memory, overflow
vi.c, 1168, Uninitialized memory, overflow
which.c, 63, Xfree, assertion
wget.c, 1332, Xfree, assertion
hush.c, 8468, Xfree, assertion
cryptpw.c, 128, Uninitialized memory, overflow
get_header_tar.c, 275, Dead store, overflow
httpd.c, 2238, Check stdlibfunc return, overflow
mv.c, 159, Xfree, assertion
ash.c, 7117, Case termination, pointer dereference
fdisk_sun.c, 431, Uninitialized memory, overflow
hush.c, 6938, Xfree, assertion
strings.c, 111, Xfree, assertion
blocksort.c, 247, Uninitialized memory, pointer dereference
vconfig.c, 120, Uninitialized memory, overflow
tls_aes.c, 369, Uninitialized memory, overflow
devfsd.c, 1675, Uninitialized memory, pointer dereference
dhcpc.c, 553, Dead store, pointer dereference
ash.c, 10013, Uninitialized memory, pointer dereference
procps.c, 388, Check stdlibfunc return, overflow
perror_msg.c, 27, Uninitialized memory, pointer dereference
d6_dhcpc.c, 1158, Check stdlibfunc return, overflow
iprule.c, 211, Uninitialized memory, overflow
lsusb.c, 59, Uninitialized memory, overflow
lspci.c, 76, Uninitialized memory, overflow
lineedit.c, 786, Check stdlibfunc return, overflow
tac.c, 110, Xfree, assertion
powertop.c, 213, Check stdlibfunc return, assertion
brctl.c, 257, Uninitialized memory, array bounds
tail.c, 403, Xfree, assertion
ash.c, 12337, Case termination, pointer dereference
read_printf.c, 129, Xfree, assertion
tftp.c, 789, Check stdlibfunc return, overflow
compress.c, 473, Uninitialized memory, array bounds
awk.c, 2868, Check stdlibfunc return, pointer dereference
cpio.c, 276, Xfree, assertion
mail.c, 146, Uninitialized memory, overflow
man.c, 203, Check stdlibfunc return, overflow
dhcprelay.c, 146, Uninitialized memory, overflow
unzip.c, 978, Xfree, assertion
mdev.c, 528, Check stdlibfunc return, overflow
lineedit.c, 682, Check stdlibfunc return, overflow
env.c, 80, Check stdlibfunc return, pointer dereference
iproute.c, 274, Uninitialized memory, overflow
iproute.c, 207, Uninitialized memory, overflow
powertop.c, 365, Check stdlibfunc return, overflow
lsusb.c, 50, Uninitialized memory, overflow
lspci.c, 69, Uninitialized memory, overflow
setfiles.c, 643, Check stdlibfunc return, assertion
modprobe.c, 282, Uninitialized memory, overflow
dpkg.c, 786, Xfree, assertion
modprobe.c, 491, Xfree, assertion
bzlib.c, 374, Xfree, assertion
tls.c, 1412, Uninitialized memory, overflow
uidgid_get.c, 98, Check stdlibfunc return, overflow
powertop.c, 766, Uninitialized memory, overflow
data_extract_to_command.c, 93, Uninitialized memory, pointer dereference
decompress_gunzip.c, 847, Uninitialized memory, overflow
dpkg.c, 1311, Double free, assertion
bootchartd.c, 167, Check stdlibfunc return, overflow
losetup.c, 109, Xfree, assertion
devfsd.c, 1016, Xfree, assertion
tls_aes.c, 383, Uninitialized memory, pointer dereference
common.c, 603, Uninitialized memory, overflow
rpm.c, 236, Xfree, assertion
decompress_bunzip2.c, 287, Uninitialized memory, array bounds
ash.c, 13015, Check stdlibfunc return, overflow
nameif.c, 271, Uninitialized memory, overflow
iproute.c, 1084, Uninitialized memory, overflow
man.c, 309, Check stdlibfunc return, pointer dereference
lspci.c, 58, Uninitialized memory, overflow
ntpd.c, 1269, Uninitialized memory, array bounds
decompress_gunzip.c, 918, Uninitialized memory, overflow
unicode.c, 59, Check stdlibfunc return, pointer dereference
dpkg.c, 1923, Double free, pointer dereference
httpd.c, 1063, Dead store, pointer dereference
fdisk.c, 2391, Uninitialized memory, array bounds
stty.c, 1058, Uninitialized memory, overflow
printf.c, 190, Check stdlibfunc return, overflow
executable.c, 99, Check stdlibfunc return, pointer dereference
id.c, 229, Dead store, pointer dereference
mount.c, 1779, Dead store, overflow
start_stop_daemon.c, 207, Xfree, assertion
procps.c, 510, Check stdlibfunc return, assertion
xz_dec_lzma2.c, 1041, Case termination, pointer dereference
cp.c, 213, Xfree, assertion
hush.c, 1947, Xfree, assertion
ash.c, 11425, Case termination, overflow
nslookup.c, 84, Uninitialized memory, overflow
dmesg.c, 121, Xfree, assertion
mdev.c, 998, Uninitialized memory, overflow
iproute.c, 292, Uninitialized memory, overflow
sed.c, 1542, Xfree, assertion
netstat.c, 287, Xfree, assertion
hfs.c, 156, Uninitialized memory, overflow
ntpd.c, 2066, Uninitialized memory, pointer dereference
dump.c, 210, Case termination, pointer dereference
add-remove-shell.c, 129, Xfree, assertion
lsusb.c, 68, Xfree, assertion
flashcp.c, 147, Uninitialized memory, overflow
od_bloaty.c, 734, Uninitialized memory, pointer dereference
d6_dhcpc.c, 886, Uninitialized memory, overflow
decompress_gunzip.c, 341, Uninitialized memory, array bounds
getopt.c, 161, Xfree, assertion
sendmail.c, 177, Check stdlibfunc return, overflow
chmod.c, 119, Check stdlibfunc return, pointer dereference
sysctl.c, 197, Xfree, assertion
sv.c, 581, Case termination, overflow
mpstat.c, 828, Xfree, assertion
login.c, 604, Uninitialized memory, pointer dereference
mdev.c, 638, Uninitialized memory, pointer dereference
mount.c, 1836, Xfree, assertion
httpd.c, 887, Uninitialized memory, overflow
dhcprelay.c, 324, Uninitialized memory, pointer dereference
ftpd.c, 526, Xfree, assertion
uniq.c, 132, Xfree, assertion
svlogd.c, 504, Uninitialized memory, overflow
decompress_gunzip.c, 1181, Uninitialized memory, pointer dereference
interface.c, 458, Check stdlibfunc return, array bounds
ash.c, 13903, Uninitialized memory, pointer dereference
d6_dhcpc.c, 1250, Uninitialized memory, overflow
blocksort.c, 258, Uninitialized memory, array bounds
grep.c, 631, Xfree, assertion
diff.c, 278,  Cfg innnvoid function, pointer dereference
httpd.c, 2583, Uninitialized memory, overflow
dpkg.c, 300, Check stdlibfunc return, overflow
slattach.c, 76, Uninitialized memory, overflow
ipaddress.c, 191, Uninitialized memory, overflow
awk.c, 3091, Check stdlibfunc return, pointer dereference
dhcpc.c, 344, Case termination, overflow
traceroute.c, 430, Uninitialized memory, pointer dereference
mount.c, 2094, Xfree, assertion
crontab.c, 60, Check stdlibfunc return, pointer dereference
md5_sha1_sum.c, 325, Xfree, assertion
nmeter.c, 483, Uninitialized memory, pointer dereference
isrv_identd.c, 96, Xfree, assertion
mount.c, 1835, Xfree, assertion
fdisk_sgi.c, 564, Uninitialized memory, array bounds
ether-wake.c, 242, Uninitialized memory, overflow
less.c, 1088, Uninitialized memory, overflow
less.c, 355, Uninitialized memory, overflow
rpm.c, 217, Check stdlibfunc return, overflow
fbsplash.c, 471, Uninitialized memory, overflow
httpd.c, 1879, Xfree, assertion
fdisk.c, 2481, Dead store, overflow
dump.c, 192, Check stdlibfunc return, pointer dereference
xconnect.c, 424, Xfree, assertion
hash_md5_sha.c, 1262, Uninitialized memory, overflow
mount.c, 1276, Check stdlibfunc return, overflow
diff.c, 907, Uninitialized memory, pointer dereference
netstat.c, 638, Uninitialized memory, overflow
decompress_unlzma.c, 238, Dead store, overflow
hush.c, 10631, Xfree, assertion
pstree.c, 282, Uninitialized memory, overflow
acpid.c, 210, Uninitialized memory, pointer dereference
tftp.c, 566, Case termination, overflow
hush.c, 3043, Uninitialized memory, overflow
sestatus.c, 127, Xfree, assertion
fsck.c, 667, Xfree, assertion
bootchartd.c, 393, Uninitialized memory, overflow
fclose_nonstdin.c, 22, Check stdlibfunc return, assertion
wc.c, 204, Uninitialized memory, overflow
patch.c, 174, Xfree, assertion
crontab.c, 157, Case termination, overflow
crond.c, 465, Xfree, assertion
awk.c, 3101, Xfree, assertion
kill.c, 298, Xfree, assertion
pidof.c, 132, Xfree, assertion
wget.c, 665, Check stdlibfunc return, overflow
tls_aes.c, 435, Uninitialized memory, overflow
dump.c, 587, Uninitialized memory, overflow
devfsd.c, 1733, Uninitialized memory, overflow
crond.c, 573, Uninitialized memory, pointer dereference
netstat.c, 631, Uninitialized memory, overflow
dpkg.c, 942, Check stdlibfunc return, assertion
udp_io.c, 67, Uninitialized memory, overflow
i2c_tools.c, 1182, Uninitialized memory, overflow
fuser.c, 312, Check stdlibfunc return, pointer dereference
wget.c, 520, Check stdlibfunc return, pointer dereference
mpstat.c, 214, Dead store, overflow
hush.c, 5543, Check stdlibfunc return, overflow
chat.c, 508, Xfree, assertion
httpd.c, 1861, Uninitialized memory, overflow
shell_common.c, 252, Check stdlibfunc return, overflow
lzop.c, 891, Xfree, assertion
mdev.c, 422, Check stdlibfunc return, overflow
sed.c, 447, Xfree, assertion
loadkmap.c, 83, Uninitialized memory, array bounds
lineedit.c, 2146, Uninitialized memory, overflow
match.h, 26, Dead store, overflow
ash.c, 4007, Dead store, pointer dereference
netstat.c, 404, Xfree, assertion
ash.c, 9331, Double free, assertion
decompress_gunzip.c, 329, Uninitialized memory, pointer dereference
man.c, 137, Xfree, assertion
dhcprelay.c, 281, Uninitialized memory, overflow
inetd.c, 733, Xfree, assertion
patch.c, 561, Xfree, assertion
decompress_bunzip2.c, 346, Uninitialized memory, pointer dereference
ash.c, 8043, Xfree, assertion
hwclock.c, 285, Uninitialized memory, overflow
fdisk_sgi.c, 547, Uninitialized memory, overflow
last.c, 101, Uninitialized memory, overflow
dhcpd.c, 504, Uninitialized memory, overflow
rpm.c, 194, Check stdlibfunc return, overflow
ipaddress.c, 349, Uninitialized memory, pointer dereference
getsebool.c, 67, Uninitialized memory, pointer dereference
patch.c, 156, Xfree, assertion
ed.c, 599, Xfree, assertion
diff.c, 565, Xfree, assertion
awk.c, 2344, Uninitialized memory, overflow
decompress_gunzip.c, 370, Uninitialized memory, overflow
fsck.c, 887, Check stdlibfunc return, overflow
hush.c, 7369, Xfree, assertion
diff.c, 934, Xfree, array bounds
diff.c, 465, Uninitialized memory, overflow
modinfo.c, 121, Xfree, assertion
ntpd.c, 562, Uninitialized memory, NaN
get_header_tar.c, 125, Double free, pointer dereference
cpio.c, 300, Uninitialized memory, overflow
fdisk_sgi.c, 552, Uninitialized memory, array bounds
parse_config.c, 200, Double free, pointer dereference
nameif.c, 201, Dead store, pointer dereference
cp.c, 227, Xfree, assertion
devfsd.c, 1053, Uninitialized memory, overflow
mount.c, 516, Double free, pointer dereference
hush.c, 4933, Check stdlibfunc return, overflow
df.c, 151, Check stdlibfunc return, pointer dereference
powertop.c, 848, Uninitialized memory, overflow
pwd_grp.c, 531, Check stdlibfunc return, assertion
kill.c, 205, Dead store, pointer dereference
rpm.c, 259, Double free, assertion
lpd.c, 296, Uninitialized memory, array bounds
xreadlink.c, 32, Xfree, assertion
add-remove-shell.c, 120, Check stdlibfunc return, assertion
chpst.c, 238, Uninitialized memory, overflow
nmeter.c, 717, Uninitialized memory, pointer dereference
bootchartd.c, 126, Check stdlibfunc return, pointer dereference
diff.c, 943, Double free, assertion
ifupdown.c, 906, Xfree, assertion
nmeter.c, 604, Uninitialized memory, array bounds
devmem.c, 49, Dead store, pointer dereference
less.c, 390, Double free, assertion
route.c, 641, Xfree, assertion
mount.c, 515, Double free, pointer dereference
top.c, 351, Check stdlibfunc return, assertion
inetd.c, 1678, Uninitialized memory, overflow
procps.c, 562, Uninitialized memory, pointer dereference
init.c, 299, Check stdlibfunc return, pointer dereference
ntpd.c, 1036, Uninitialized memory, overflow
decompress_bunzip2.c, 240, Uninitialized memory, overflow
hush.c, 4602, Check stdlibfunc return, overflow
dpkg.c, 1717, Xfree, assertion
awk.c, 1027, Double free, pointer dereference
ash.c, 2749, Case termination, pointer dereference
iostat.c, 502, Uninitialized memory, pointer dereference
ash.c, 12967, Uninitialized memory, pointer dereference
sed.c, 1613, Double free, assertion
devmem.c, 54, Dead store, pointer dereference
common.c, 209, Dead store, overflow
lspci.c, 106, Xfree, assertion
decompress_gunzip.c, 395, Uninitialized memory, overflow
modprobe.c, 323, Uninitialized memory, pointer dereference
svlogd.c, 299, Case termination, pointer dereference
hash_md5_sha.c, 542, Uninitialized memory, overflow
wget.c, 1321, Check stdlibfunc return, assertion
vi.c, 1521, Uninitialized memory, overflow
telnet.c, 247, Uninitialized memory, overflow
inetd.c, 1106, Xfree, assertion
ash.c, 9254, Dead store, overflow
fbsplash.c, 560, Xfree, assertion
lineedit.c, 863, Xfree, assertion
cut.c, 146, Check stdlibfunc return, overflow
fsck.c, 1066, Check stdlibfunc return, pointer dereference
chpst.c, 248, Check stdlibfunc return, overflow
mdev.c, 1098, Check stdlibfunc return, pointer dereference
fdisk_sun.c, 434, Uninitialized memory, overflow
dump.c, 622, Uninitialized memory, overflow
ipaddress.c, 618, Uninitialized memory, overflow
sed.c, 181, Check stdlibfunc return, assertion
domain_codec.c, 131, Xfree, assertion
grep.c, 572, Xfree, assertion
setfiles.c, 331, Check stdlibfunc return, overflow
lineedit.c, 759, Check stdlibfunc return, overflow
ash.c, 4523, Uninitialized memory, overflow
ubi_tools.c, 137, Uninitialized memory, overflow
fdisk_sgi.c, 857, Uninitialized memory, array bounds
hush.c, 6252, Double free, pointer dereference
find.c, 528, Dead store, pointer dereference
printf.c, 306, Check stdlibfunc return, pointer dereference
lineedit.c, 870, Xfree, assertion
interface.c, 878, Uninitialized memory, overflow
filter_accept_list_reassign.c, 24, Check stdlibfunc return, pointer dereference
devfsd.c, 660, Uninitialized memory, pointer dereference
shuf.c, 118, Dead store, pointer dereference
chattr.c, 183, Uninitialized memory, overflow
awk.c, 3115, Check stdlibfunc return, assertion
decompress_bunzip2.c, 238, Uninitialized memory, array bounds
svlogd.c, 1165, Uninitialized memory, overflow
diff.c, 501, Uninitialized memory, array bounds
popmaildir.c, 161, Check stdlibfunc return, overflow
paste.c, 57, Xfree, assertion
runsvdir.c, 196, Check stdlibfunc return, overflow
powertop.c, 775, Uninitialized memory, array bounds
devfsd.c, 1644, Case termination, pointer dereference
hush.c, 8710, Double free, pointer dereference
popmaildir.c, 272, Xfree, assertion
fbsplash.c, 431, Uninitialized memory, pointer dereference
decompress_bunzip2.c, 460, Uninitialized memory, array bounds
i2c_tools.c, 775, Uninitialized memory, pointer dereference
ash.c, 10299, Dead store, pointer dereference
pwd_grp.c, 506, Uninitialized memory, overflow
awk.c, 2428, Dead store, pointer dereference
fdisk_sgi.c, 727, Uninitialized memory, overflow
acpid.c, 233, Uninitialized memory, pointer dereference
blocksort.c, 689, Uninitialized memory, array bounds
unshare.c, 187, Uninitialized memory, pointer dereference
dpkg.c, 927, Xfree, assertion
whois.c, 113, Xfree, assertion
devfsd.c, 1086, Case termination, overflow
ftpd.c, 976, Xfree, assertion
expand.c, 98, Xfree, assertion
svlogd.c, 668, Check stdlibfunc return, pointer dereference
hush.c, 6697, Xfree, assertion
wget.c, 1330, Uninitialized memory, assertion
crond.c, 408, Xfree, assertion
dhcpc.c, 890, Uninitialized memory, overflow
arpping.c, 66, Uninitialized memory, overflow
bbunzip.c, 215, Check stdlibfunc return, overflow
adjtimex.c, 96, Uninitialized memory, overflow
ed.c, 948, Case termination, pointer dereference
xfuncs_printf.c, 597, Uninitialized memory, overflow
split.c, 164, Check stdlibfunc return, overflow
sv.c, 551, Case termination, overflow
unzip.c, 862, Uninitialized memory, overflow
fsck_minix.c, 573, Uninitialized memory, overflow
lsof.c, 59, Uninitialized memory, pointer dereference
hush.c, 4676, Uninitialized memory, pointer dereference
httpd.c, 853, Uninitialized memory, overflow
ed.c, 331, Xfree, assertion
pscan.c, 170, Xfree, assertion
awk.c, 3238, Xfree, assertion
install.c, 262, Xfree, assertion
perror_msg.c, 17, Uninitialized memory, pointer dereference
tar.c, 212, Xfree, assertion
ls.c, 827, Dead store, pointer dereference
pwd.c, 88, Xfree, assertion
vi.c, 1175, Uninitialized memory, overflow
decompress_gunzip.c, 431, Uninitialized memory, overflow
sestatus.c, 60, Xfree, pointer dereference
od_bloaty.c, 1038, Uninitialized memory, overflow
mdev.c, 489, Check stdlibfunc return, pointer dereference
crontab.c, 173, Case termination, pointer dereference
wget.c, 1333, Xfree, assertion
mdev.c, 414, Check stdlibfunc return, pointer dereference
touch.c, 186, Uninitialized memory, pointer dereference
diff.c, 996, Uninitialized memory, pointer dereference
vi.c, 658, Check stdlibfunc return, pointer dereference
fdisk_sun.c, 430, Uninitialized memory, array bounds
mail.c, 156, Check stdlibfunc return, assertion
fuser.c, 264, Xfree, assertion
tls_aes.c, 370, Uninitialized memory, overflow
nmeter.c, 412, Dead store, overflow
lineedit.c, 1413, Xfree, assertion
setfiles.c, 508, Xfree, assertion
reformime.c, 238, Xfree, assertion
tls_pstm.c, 179, Dead store, pointer dereference
ubi_tools.c, 230, Uninitialized memory, overflow
find.c, 675, Uninitialized memory, array bounds
diff.c, 651, Uninitialized memory, overflow
dhcpd.c, 416, Uninitialized memory, pointer dereference
ntpd.c, 1272, Uninitialized memory, pointer dereference
wget.c, 1228, Case termination, pointer dereference
ipaddress.c, 293, Uninitialized memory, pointer dereference
arpping.c, 80, Uninitialized memory, overflow
get_header_tar.c, 283, Dead store, overflow
id.c, 216, Uninitialized memory, overflow
watch.c, 90, Xfree, assertion
ash.c, 10866, Xfree, pointer dereference
cttyhack.c, 114, Uninitialized memory, overflow
get_devname.c, 90, Dead store, pointer dereference
fsck_minix.c, 559, Uninitialized memory, overflow
mount.c, 1856, Check stdlibfunc return, pointer dereference
d6_dhcpc.c, 241, Uninitialized memory, pointer dereference
hush.c, 7010, Xfree, assertion
hush.c, 9693, Check stdlibfunc return, overflow
ntpd.c, 1376, Uninitialized memory, array bounds
xconnect.c, 211, Check stdlibfunc return, overflow
dnsd.c, 139, Uninitialized memory, overflow
ifplugd.c, 285, Uninitialized memory, array bounds
lspci.c, 68, Uninitialized memory, overflow
shell_common.c, 293, Xfree, assertion
setup_environment.c, 51, Check stdlibfunc return, pointer dereference
fsck.c, 726, Case termination, pointer dereference
comm.c, 80, Xfree, assertion
pwd_grp.c, 212, Xfree, assertion
data_extract_to_command.c, 92, Uninitialized memory, pointer dereference
common.c, 602, Uninitialized memory, overflow
lineedit.c, 1427, Uninitialized memory, array bounds
tls_pstm_mul_comba.c, 295, Dead store, pointer dereference
mdev.c, 536, Xfree, assertion
httpd.c, 516, Xfree, assertion
uudecode.c, 164, Xfree, assertion
ifplugd.c, 274, Uninitialized memory, overflow
iproute.c, 1085, Uninitialized memory, overflow
ntpd.c, 2076, Xfree, assertion
svlogd.c, 736, Check stdlibfunc return, overflow
dpkg.c, 677, Xfree, assertion
od_bloaty.c, 1051, Xfree, assertion
dpkg.c, 1924, Xfree, pointer dereference
wall.c, 55, Xfree, assertion
uudecode.c, 215, Uninitialized memory, overflow
comm.c, 87, Uninitialized memory, overflow
pw_encrypt_md5.c, 113, Uninitialized memory, overflow
cksum.c, 48, Dead store, pointer dereference
awk.c, 2450, Uninitialized memory, pointer dereference
loop.c, 122, Uninitialized memory, overflow
less.c, 1528, Xfree, assertion
devfsd.c, 1130, Xfree, assertion
fflush_stdout_and_exit.c, 17, Check stdlibfunc return, pointer dereference
mount.c, 563, Double free, pointer dereference
head.c, 130, Double free, overflow
fdisk_sun.c, 530, Uninitialized memory, array bounds
read_printf.c, 73, Dead store, pointer dereference
powertop.c, 809, Uninitialized memory, overflow
lsusb.c, 69, Xfree, assertion
sort.c, 331, Xfree, pointer dereference
decompress_bunzip2.c, 486, Uninitialized memory, array bounds
od_bloaty.c, 735, Uninitialized memory, pointer dereference
procps.c, 578, Uninitialized memory, overflow
od_bloaty.c, 1042, Uninitialized memory, array bounds
sed.c, 981, Xfree, assertion
fatattr.c, 50, Check stdlibfunc return, overflow
uudecode.c, 222, Uninitialized memory, overflow
devfsd.c, 1864, Check stdlibfunc return, pointer dereference
awk.c, 2009, Check stdlibfunc return, overflow
less.c, 1408, Dead store, pointer dereference
grep.c, 850, Double free, assertion
ipaddress.c, 86, Uninitialized memory, overflow
less.c, 1523, Check stdlibfunc return, assertion
math.c, 453, Uninitialized memory, pointer dereference
devfsd.c, 894, Uninitialized memory, pointer dereference
vi.c, 1140, Dead store, overflow
nmeter.c, 860, Check stdlibfunc return, overflow
mkfs_minix.c, 585, Dead store, pointer dereference
modprobe-small.c, 560, Uninitialized memory, overflow
modprobe-small.c, 454, Xfree, assertion
