Filename, Line #, TypeChef-Type, .\toybox_0_7_5_cppcheck.json-Type
args.c, 309, Uninitialized memory,  (error) Uninitialized variable
hwclock.c, 96, Xfree,  (error) Memory pointed to by 's' is freed twice.
