Filename, Line #, TypeChef-Type, .\toybox_0_7_5_cbmc.json-Type
mount.c, 354, Xfree, assertion
date.c, 156, Check stdlibfunc return, pointer dereference
umount.c, 68, Xfree, assertion
sed.c, 960, Check stdlibfunc return, overflow
login.c, 142, Check stdlibfunc return, pointer dereference
xwrap.c, 56, Check stdlibfunc return, pointer dereference
rfkill.c, 56, Dead store, array bounds
kill.c, 132, Xfree, assertion
ls.c, 509, Uninitialized memory, pointer dereference
df.c, 109, Dead store, overflow
cpio.c, 277, Xfree, assertion
patch.c, 369, Dead store, overflow
cpio.c, 121, Xfree, assertion
taskset.c, 109, Dead store, pointer dereference
ifconfig.c, 307, Check stdlibfunc return, assertion
printf.c, 129, Check stdlibfunc return, overflow
netstat.c, 153, Uninitialized memory, overflow
interestingtimes.c, 39, Check stdlibfunc return, pointer dereference
mkpasswd.c, 50, Dead store, pointer dereference
comm.c, 79, Uninitialized memory, array bounds
passwd.c, 165, Xfree, assertion
xxd.c, 129, Check stdlibfunc return, assertion
ps.c, 941, Check stdlibfunc return, overflow
date.c, 142, Uninitialized memory, pointer dereference
md5sum.c, 186, Uninitialized memory, pointer dereference
args.c, 295, Check stdlibfunc return, pointer dereference
md5sum.c, 160, Uninitialized memory, array bounds
umount.c, 149, Dead store, pointer dereference
ls.c, 358, Uninitialized memory, overflow
find.c, 182, Xfree, assertion
lib.c, 1155, Uninitialized memory, pointer dereference
lsattr.c, 160, Xfree, assertion
ls.c, 457, Uninitialized memory, overflow
xargs.c, 197, Xfree, assertion
passwd.c, 186, Xfree, assertion
cpio.c, 210, Uninitialized memory, overflow
cal.c, 105, Uninitialized memory, overflow
sysctl.c, 87, Xfree, assertion
hwclock.c, 45, Check stdlibfunc return, assertion
grep.c, 359, Xfree, assertion
lib.c, 527, Xfree, assertion
hwclock.c, 121, Uninitialized memory, overflow
linestack.c, 78, Check stdlibfunc return, assertion
mount.c, 254, Xfree, assertion
ls.c, 353, Uninitialized memory, array bounds
bzcat.c, 659, Xfree, assertion
passwd.c, 93, Xfree, assertion
touch.c, 70, Check stdlibfunc return, overflow
xwrap.c, 263, Uninitialized memory, pointer dereference
grep.c, 262, Xfree, assertion
comm.c, 61, Xfree, array bounds
xwrap.c, 537, Double free, assertion
strings.c, 46, Uninitialized memory, pointer dereference
od.c, 67, Check stdlibfunc return, overflow
ifconfig.c, 318, Uninitialized memory, overflow
makedevs.c, 55, Xfree, assertion
netstat.c, 106, Check stdlibfunc return, overflow
llist.c, 15, Xfree, assertion
xwrap.c, 785, Uninitialized memory, array bounds
patch.c, 328, Xfree, pointer dereference
seq.c, 66, Case termination, pointer dereference
oneit.c, 105, Check stdlibfunc return, pointer dereference
ls.c, 518, Xfree, overflow
grep.c, 172, Uninitialized memory, overflow
comm.c, 52, Uninitialized memory, array bounds
factor.c, 59, Uninitialized memory, overflow
sed.c, 788, Xfree, assertion
ps.c, 1369, Uninitialized memory, overflow
xwrap.c, 790, Uninitialized memory, overflow
nl.c, 90, Check stdlibfunc return, pointer dereference
ifconfig.c, 299, Uninitialized memory, overflow
find.c, 484, Xfree, assertion
modinfo.c, 106, Check stdlibfunc return, pointer dereference
patch.c, 428, Xfree, assertion
cal.c, 41, Dead store, overflow
ln.c, 86, Xfree, assertion
interestingtimes.c, 37, Check stdlibfunc return, pointer dereference
ls.c, 381, Uninitialized memory, pointer dereference
tail.c, 174, Xfree, assertion
modinfo.c, 94, Xfree, assertion
env.c, 50, Check stdlibfunc return, overflow
uniq.c, 117, Check stdlibfunc return, assertion
sed.c, 942, Check stdlibfunc return, overflow
xwrap.c, 155, Check stdlibfunc return, pointer dereference
sed.c, 668, Dead store, pointer dereference
ls.c, 441, Uninitialized memory, overflow
netcat.c, 144, Check stdlibfunc return, pointer dereference
grep.c, 205, Xfree, assertion
sed.c, 944, Check stdlibfunc return, overflow
xwrap.c, 729, Uninitialized memory, pointer dereference
uudecode.c, 46, Uninitialized memory, overflow
ln.c, 77, Xfree, assertion
sed.c, 678, Check stdlibfunc return, pointer dereference
md5sum.c, 200, Uninitialized memory, pointer dereference
ls.c, 356, Uninitialized memory, overflow
ifconfig.c, 91, Dead store, overflow
sort.c, 342, Check stdlibfunc return, pointer dereference
expand.c, 110, Dead store, pointer dereference
comm.c, 56, Uninitialized memory, overflow
xwrap.c, 212, Uninitialized memory, overflow
passwd.c, 188, Xfree, pointer dereference
ls.c, 465, Uninitialized memory, overflow
password.c, 189, Check stdlibfunc return, assertion
inotifyd.c, 68, Uninitialized memory, overflow
nbd_client.c, 83, Check stdlibfunc return, overflow
mount.c, 263, Check stdlibfunc return, assertion
sort.c, 401, Double free, assertion
bzcat.c, 253, Uninitialized memory, array bounds
ps.c, 650, Check stdlibfunc return, overflow
ps.c, 1660, Xfree, assertion
ls.c, 91, Uninitialized memory, overflow
ls.c, 329, Uninitialized memory, overflow
df.c, 110, Dead store, pointer dereference
blkid.c, 158, Uninitialized memory, overflow
ls.c, 472, Uninitialized memory, overflow
lib.c, 911, Check stdlibfunc return, pointer dereference
ps.c, 923, Double free, pointer dereference
ls.c, 427, Uninitialized memory, pointer dereference
sed.c, 930, Check stdlibfunc return, overflow
sort.c, 134, Uninitialized memory, pointer dereference
netstat.c, 130, Check stdlibfunc return, overflow
cal.c, 50, Dead store, pointer dereference
linestack.c, 97, Check stdlibfunc return, overflow
cpio.c, 150, Xfree, assertion
lsattr.c, 277, Xfree, assertion
sort.c, 382, Double free, pointer dereference
lsattr.c, 271, Xfree, assertion
factor.c, 61, Uninitialized memory, overflow
comm.c, 76, Uninitialized memory, array bounds
passwd.c, 160, Xfree, pointer dereference
ifconfig.c, 190, Uninitialized memory, pointer dereference
grep.c, 254, Xfree, assertion
su.c, 68, Dead store, overflow
xwrap.c, 677, Xfree, assertion
date.c, 145, Uninitialized memory, pointer dereference
tail.c, 195, Xfree, overflow
inotifyd.c, 112, Xfree, assertion
ps.c, 910, Dead store, pointer dereference
tac.c, 40, Double free, pointer dereference
xwrap.c, 160, Check stdlibfunc return, pointer dereference
rev.c, 34, Xfree, assertion
test_scankey.c, 44, Uninitialized memory, overflow
ps.c, 1044, Uninitialized memory, overflow
comm.c, 67, Xfree, array bounds
login.c, 72, Uninitialized memory, overflow
passwd.c, 159, Xfree, assertion
nl.c, 67, Xfree, assertion
uniq.c, 119, Xfree, assertion
md5sum.c, 190, Uninitialized memory, pointer dereference
sort.c, 148, Uninitialized memory, overflow
taskset.c, 52, Uninitialized memory, overflow
login.c, 156, Xfree, assertion
patch.c, 421, Xfree, assertion
cal.c, 32, Uninitialized memory, overflow
interestingtimes.c, 165, Uninitialized memory, overflow
sort.c, 259, Xfree, assertion
