Filename, Line #, TypeChef-Type, .\axtls_2_1_4_cbmc.json-Type
proc.c, 868, Uninitialized memory, overflow
hmac.c, 56, Uninitialized memory, overflow
aes.c, 293, Uninitialized memory, array bounds
sha1.c, 127, Uninitialized memory, overflow
hmac.c, 122, Uninitialized memory, overflow
hmac.c, 55, Uninitialized memory, overflow
tdate_parse.c, 76, Check stdlibfunc return, overflow
aes.c, 296, Uninitialized memory, overflow
sha256.c, 135, Uninitialized memory, overflow
aes.c, 450, Uninitialized memory, overflow
axhttpd.c, 161, Check stdlibfunc return, overflow
p12.c, 168, Check stdlibfunc return, overflow
aes.c, 334, Uninitialized memory, array bounds
sha1.c, 166, Uninitialized memory, overflow
proc.c, 1154, Check stdlibfunc return, pointer dereference
loader.c, 114, Check stdlibfunc return, overflow
proc.c, 284, Uninitialized memory, overflow
proc.c, 1088, Uninitialized memory, pointer dereference
p12.c, 269, Uninitialized memory, overflow
p12.c, 286, Check stdlibfunc return, overflow
p12.c, 127, Xfree, assertion
sha256.c, 141, Uninitialized memory, overflow
tls1.c, 917, Uninitialized memory, overflow
proc.c, 460, Uninitialized memory, overflow
asn1.c, 306, Xfree, assertion
gen_cert.c, 360, Uninitialized memory, pointer dereference
tls1.c, 1250, Uninitialized memory, overflow
proc.c, 1129, Check stdlibfunc return, assertion
axhttpd.c, 389, Dead store, overflow
aes.c, 344, Uninitialized memory, array bounds
loader.c, 312, Check stdlibfunc return, array bounds
hmac.c, 89, Uninitialized memory, overflow
proc.c, 1079, Uninitialized memory, overflow
proc.c, 790, Check stdlibfunc return, overflow
