Filename, Line #, TypeChef-Type, .\axtls_2_1_4_cbmc.json-Type
hmac.c, 93, Uninitialized memory, array bounds
loader.c, 71, Check stdlibfunc return, overflow
proc.c, 1154, Check stdlibfunc return, pointer dereference
aes.c, 339, Uninitialized memory, overflow
aes.c, 286, Uninitialized memory, array bounds
axhttpd.c, 161, Check stdlibfunc return, overflow
proc.c, 759, Check stdlibfunc return, pointer dereference
gen_cert.c, 360, Uninitialized memory, pointer dereference
asn1.c, 551, Xfree, assertion
hmac.c, 121, Uninitialized memory, overflow
tls1_svr.c, 400, Uninitialized memory, pointer dereference
p12.c, 421, Xfree, assertion
hmac.c, 87, Uninitialized memory, overflow
sha256.c, 133, Uninitialized memory, overflow
p12.c, 269, Uninitialized memory, overflow
proc.c, 1072, Check stdlibfunc return, overflow
p12.c, 127, Xfree, assertion
proc.c, 104, Check stdlibfunc return, overflow
aes.c, 315, Uninitialized memory, array bounds
sha256.c, 146, Uninitialized memory, overflow
aes.c, 292, Uninitialized memory, array bounds
x509.c, 357, Double free, pointer dereference
asn1.c, 518, Xfree, assertion
sha256.c, 136, Uninitialized memory, overflow
asn1.c, 306, Xfree, assertion
proc.c, 842, Dead store, pointer dereference
aes.c, 326, Uninitialized memory, array bounds
loader.c, 312, Check stdlibfunc return, array bounds
proc.c, 191, Uninitialized memory, overflow
proc.c, 1112, Uninitialized memory, overflow
sha256.c, 145, Uninitialized memory, overflow
axhttpd.c, 584, Uninitialized memory, overflow
x509.c, 358, Double free, pointer dereference
crypto_misc.c, 93, Check stdlibfunc return, assertion
hmac.c, 89, Uninitialized memory, overflow
openssl.c, 314, Check stdlibfunc return, assertion
sha1.c, 155, Uninitialized memory, overflow
proc.c, 201, Uninitialized memory, overflow
sha256.c, 143, Uninitialized memory, overflow
aes.c, 282, Uninitialized memory, overflow
proc.c, 1163, Check stdlibfunc return, assertion
aes.c, 344, Uninitialized memory, array bounds
hmac.c, 55, Uninitialized memory, overflow
crypto_misc.c, 256, Uninitialized memory, overflow
sha1.c, 127, Uninitialized memory, overflow
proc.c, 460, Uninitialized memory, overflow
proc.c, 1115, Uninitialized memory, overflow
proc.c, 868, Uninitialized memory, overflow
sha256.c, 148, Uninitialized memory, overflow
aes.c, 302, Uninitialized memory, overflow
asn1.c, 315, Xfree, assertion
proc.c, 1076, Uninitialized memory, overflow
axhttpd.c, 538, Uninitialized memory, overflow
